experiment,source_file,architecture,component,initialization,external_pretraining,checkpoint_loaded,strict_load,fair_comparison
SSL_ORIGINAL_MU80,pp_SoiNet_orginal_vicREG-mu=80.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU80,pp_SoiNet_orginal_vicREG-mu=80.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU20,pp_SoiNet_orginal_vicREG_mu=20.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU20,pp_SoiNet_orginal_vicREG_mu=20.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU20,pp_SoiNet_orginal_vicREG_mu=20.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
DEPLOYMENT_ORIGINAL,predict_fromtelegram.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,RANDOM,False,True,FALSE,NOT_ESTABLISHED
DEPLOYMENT_ORIGINAL,predict_fromtelegram.ipynb,mobilevitv2_050,backbone_or_baseline,RANDOM,False,True,FALSE,NOT_ESTABLISHED
DEPLOYMENT_ORIGINAL,predict_fromtelegram.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,RANDOM,False,True,FALSE,NOT_ESTABLISHED
PRETRAIN_TINYIMAGENET,SoilNet_pretrain_ImageNet.py,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,False,NOT_EXPLICIT_OR_TRUE,NO
PRETRAIN_TINYIMAGENET,SoilNet_pretrain_ImageNet.py,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,False,NOT_EXPLICIT_OR_TRUE,NO
PRETRAIN_TINYIMAGENET,SoilNet_pretrain_ImageNet.py,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,False,NOT_EXPLICIT_OR_TRUE,NO
SSL_ORIGINAL_MU20,VicReg_SoiNet_optimized_mu_20.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU20,VicReg_SoiNet_optimized_mu_20.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU20,VicReg_SoiNet_optimized_mu_20.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_TINYIMAGENET_MU20,Vicreg_soiNet_tinyImagenet_mu=20.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_TINYIMAGENET_MU20,Vicreg_soiNet_tinyImagenet_mu=20.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_TINYIMAGENET_MU20,Vicreg_soiNet_tinyImagenet_mu=20.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_TINYIMAGENET_MU23,Vicreg_soiNet_tinyImagenet_mu=23.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_TINYIMAGENET_MU23,Vicreg_soiNet_tinyImagenet_mu=23.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_TINYIMAGENET_MU23,Vicreg_soiNet_tinyImagenet_mu=23.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_TINYIMAGENET_MU25,Vicreg_soiNet_tinyImagenet_mu=25.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_TINYIMAGENET_MU25,Vicreg_soiNet_tinyImagenet_mu=25.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_TINYIMAGENET_MU25,Vicreg_soiNet_tinyImagenet_mu=25.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_TINYIMAGENET_MU27,Vicreg_soiNet_tinyImagenet_mu=27.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
