scope_c_artifact,scope_c_sha256,matched_scope,matched_path,matched_sha256,byte_identical,classification,lineage_implication
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_classifier_final_mu_33.0.pth,03f8d050f9067cb3426fd8bcfbb800027914ee04dbf1a02f2f5e83decb02fc8b,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_linear_reg_final_mu_20.0.pth,b86ffed8b4d7c819c1f73546a42d53fbf615bb32c72f4251c48afc572014c92a,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_linear_reg_final_mu_23.0.pth,331b707aee8c5e9355bc9a55eb6d4daa7ebc00c9a00e1680ec1b1ee44b2a5b05,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_linear_reg_final_mu_25.0.pth,d4c3ebb64089942326b1f02a7f60a71ab1c8160b7e8e31d5a69bb79d008c8f86,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_linear_reg_final_mu_27.0.pth,ce38d310ab88a83afb09aef3b75d9c4cc13cb6549bf621791c0969b244b73b2b,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_linear_reg_final_mu_30.0.pth,8075a3a8170253f7bdf242ab9221490318d7e7b162b50d96f83267989e51e6b5,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_linear_reg_final_mu_33.0.pth,c994b69e414585c5fc6ae475803298a289f3858a3866b0f8b6ce6f82ae6bff05,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_mu_20.0.pth,2b7117fcc91f0bb20ce34310078810a2fc0fd9b3b3f815aac48269253d199c6b,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_mu_23.0.pth,bc6b25e52e042d67d587b5d0f608701ea0292d372a64ce4646691c38d51c66d8,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_mu_25.0.pth,af33f55e5b71eff91fbc6b047872702e17484ce83645dc62fad1a0616f3e867f,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_mu_27.0.pth,b15d47b3e9b69866e806493859a653945800e9eae39cd77130b0a77deb094a80,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_mu_30.0.pth,4b9cde14158fcfd6a2b9a3d31bb483978af4f07a30b76764bb270b9ee265b4c8,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_mu_33.0.pth,6f99b74c9bb2051cd37e221280dd59ce28c6ae16d5c669f2bf619591e0b27a8f,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_tinyImageNet_mu_20.0.pth,8e64f6898656a2192ea0769d56c78597e6ebad8c961212541f9ed4bcd77492cf,LEGACY_GITHUB,vicreg_model_final_tinyImageNet_mu_20.0.pth,8e64f6898656a2192ea0769d56c78597e6ebad8c961212541f9ed4bcd77492cf,True,EXACT_DUPLICATE_GITHUB,Same bytes across scopes; publish at most one approved copy.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_tinyImageNet_mu_23.0.pth,8fcecd49fbe72fed83add29022fc8dc11fc99352b4e38e11349eb256a5732aa2,LEGACY_GITHUB,vicreg_model_final_tinyImageNet_mu_23.0.pth,8fcecd49fbe72fed83add29022fc8dc11fc99352b4e38e11349eb256a5732aa2,True,EXACT_DUPLICATE_GITHUB,Same bytes across scopes; publish at most one approved copy.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_tinyImageNet_mu_25.0.pth,cd98e7e59a49b87e9afb4146220b616122252042f94a57fef2d766a69bedb3e7,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_tinyImageNet_mu_27.0.pth,2919012a6a6e585f6a3cb2762415c811abae8119e3196fce15afdf3389ee17c1,LEGACY_GITHUB,vicreg_model_final_tinyImageNet_mu_27.0.pth,2919012a6a6e585f6a3cb2762415c811abae8119e3196fce15afdf3389ee17c1,True,EXACT_DUPLICATE_GITHUB,Same bytes across scopes; publish at most one approved copy.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_tinyImageNet_mu_30.0.pth,480318812d920065cfcc43d29531dbe71947e610e5ae4f2021e3f83cbdddc8ff,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_tinyImageNet_mu_33.0.pth,87df6bc8978ccd387cd1207b3509d1a5fba26fd5d4d38a0b94e9d926529f8b9b,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_projector_final_mu_20.0.pth,eb833acb6e4d4c8ffcc473b4e2844565f9febe893d1890c3c0e1a54e0d83145c,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_projector_final_mu_23.0.pth,c8c138d70d767fbfadde032265b06a4691cbdd85123f4dd6449e6e8c31e2c514,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
